API Name,Type,Count combinations,Writable Location Count,No Constraint Count
block_pool_create,BLOCK,55,6,6
block_pool_prioritize,BLOCK,13,1,0
mutex_create,MUTEX,55,6,6
thread_reset,THREAD,55,3,0
queue_send_notify,QUEUE,55,3,2
semaphore_ceiling_put,SEMAPHORE,21,2,0
thread_priority_change,THREAD,55,8,1
queue_front_send,QUEUE,11,3,0
thread_relinquish,THREAD,0,0,0
event_flags_set_notify,EVENT,55,3,2
semaphore_delete,SEMAPHORE,53,3,0
queue_create,QUEUE,55,12,12
byte_release,BYTE,0,0,0
thread_suspend,THREAD,10,4,0
queue_receive,QUEUE,55,4,1
semaphore_prioritize,SEMAPHORE,21,1,0
thread_entry_exit_notify,THREAD,53,1,0
byte_pool_delete,BYTE,53,3,0
block_allocate,BLOCK,55,9,1
queue_info_get,QUEUE,55,1,1
event_flags_set,EVENT,53,3,0
event_flags_info_get,EVENT,55,1,1
block_release,BLOCK,0,0,0
thread_preemption_change,THREAD,55,2,1
mutex_info_get,MUTEX,55,1,1
semaphore_info_get,SEMAPHORE,55,1,1
queue_flush,QUEUE,17,6,0
thread_info_get,THREAD,55,1,1
semaphore_put,SEMAPHORE,23,2,0
mutex_get,MUTEX,53,12,0
queue_prioritize,QUEUE,14,1,0
mutex_delete,MUTEX,53,8,0
semaphore_put_notify,SEMAPHORE,55,3,2
semaphore_create,SEMAPHORE,55,6,6
byte_pool_create,BYTE,55,8,8
thread_time_slice_change,THREAD,55,2,1
semaphore_get,SEMAPHORE,53,12,0
event_flags_get,EVENT,55,15,1
block_pool_info_get,BLOCK,55,1,1
timer_change,TIMER,14,2,0
event_flags_delete,EVENT,53,3,0
queue_send,QUEUE,11,3,0
event_flags_create,EVENT,55,5,5
byte_pool_prioritize,BYTE,10,1,0
byte_pool_info_get,BYTE,55,1,1
block_pool_delete,BLOCK,53,3,0
queue_delete,QUEUE,53,3,0
thread_create,THREAD,55,22,22
mutex_put,MUTEX,53,10,0
thread_delete,THREAD,0,1,0
thread_wait_abort,THREAD,10,7,0
mutex_prioritize,MUTEX,19,1,0
byte_allocate,BYTE,0,1,0
thread_resume,THREAD,9,4,0
thread_terminate,THREAD,2,3,0
