Function,Count of OK
block_allocate,56
block_pool_create,56
block_pool_delete,54
block_pool_info_get,56
block_pool_prioritize,14
byte_pool_create,56
byte_pool_delete,54
byte_pool_info_get,56
byte_pool_prioritize,11
event_flags_create,56
event_flags_delete,54
event_flags_get,56
event_flags_info_get,56
event_flags_set,54
event_flags_set_notify,56
mutex_create,56
mutex_delete,54
mutex_get,54
mutex_info_get,56
mutex_prioritize,20
mutex_put,54
queue_create,56
queue_delete,54
queue_flush,18
queue_front_send,12
queue_info_get,56
queue_prioritize,15
queue_receive,56
queue_send,12
queue_send_notify,56
semaphore_ceiling_put,22
semaphore_create,56
semaphore_delete,54
semaphore_get,54
semaphore_info_get,56
semaphore_prioritize,22
semaphore_put,24
semaphore_put_notify,56
thread_create,56
thread_delete,1
thread_entry_exit_notify,54
thread_info_get,56
thread_preemption_change,56
thread_priority_change,56
thread_reset,56
thread_resume,10
thread_suspend,11
thread_terminate,3
thread_time_slice_change,56
thread_wait_abort,11
timer_activate,7
timer_change,15
timer_create,56
timer_deactivate,8
timer_delete,16
timer_info_get,56
